task_id,name,activity,module_count,scenario_count,phases,substrates,qts,buckets,methods,coatings,flags
TSK_AEST_CLEAR_BRUSH,Clear Brush,,1,1,finish,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_CLEAR_SPRAY,Clear Spray,,1,1,finish,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_CONDITIONER,Wood Conditioner,,1,1,prep,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_EQUIP_CLEAN,Clean Equipment,,1,1,cleanup,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_FILL,Fill Defects,,1,1,prep,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_FINAL_INSPECT,Final Inspection,Final Inspect,1,1,cleanup,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,
TSK_AEST_GRAIN_RAISE,Grain Raise,,1,1,prep,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_SAND_120,Sand 120 Grit,,1,1,prep,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_SAND_150,Sand 150 Grit,,1,1,prep,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_SAND_CLEAR,Sand Between Clear (320-400),,1,1,finish,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,"ACTIVITY_UNMATCHED|PHASE_DOCTRINE_HINT(name->prep|interstage, derived->finish)"
TSK_AEST_SAND_SEALER,Sand Between Sealer (220-320),,1,1,finish,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,"ACTIVITY_UNMATCHED|PHASE_DOCTRINE_HINT(name->prep|interstage, derived->finish)"
TSK_AEST_SEALER_BRUSH,Sealer Brush,,1,1,finish,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_SEALER_SPRAY,Sealer Spray,,1,1,finish,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_STAIN_BRUSH,Stain Brush+Wipe,,1,1,apply,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_STAIN_ROLL,Stain Roll+Wipe,,1,1,apply,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_STAIN_SPRAY,Stain Spray+Wipe,,1,1,apply,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_TACK,Tack Clean,,1,1,prep,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_TOUCHUP,Touch-Up,,1,1,cleanup,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_AEST_WIPE_COND,Wipe Conditioner,,1,1,prep,int_arch_element,QT3;QT4;QT5,nc_interior,,stain,ACTIVITY_UNMATCHED
TSK_ALRP_CAULK_ASSESS,Caulk Assessment + Replacement (QT3),,1,2,prep,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_CHALK_VERIFY,Chalk Verification Gate (Hand-Rub Test),,1,2,prep,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_CUSTOMER_WALKTHROUGH,Customer Walkthrough,,1,2,cleanup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_DFT_VERIFY,Primer DFT Verification,,1,2,prime,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_DOOR_MASK,Door Masking,,1,2,setup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_EQUIPMENT_SETUP_BRUSH,Brush Equipment Setup,,1,2,setup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_EQUIPMENT_SETUP_SPRAY,Spray Equipment Setup,,1,2,setup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_FINAL_INSPECT,Final Inspection,Final Inspect,1,2,cleanup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,
TSK_ALRP_FINAL_TOUCHUP,Final Touch-Up,,1,2,cleanup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_FINISH_BRUSH,Finish Coat 1 — Brush (Fallback),,1,2,finish,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_FINISH_BRUSH_COAT2,Finish Coat 2 — Brush,,1,2,finish,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_FINISH_SPRAY,Finish Coat 1 — Spray,,1,2,finish,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_FINISH_SPRAY_COAT2,Finish Coat 2 — Spray,,1,2,finish,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_FIXTURE_MASK,Fixture Masking,,1,2,setup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_HARDSCAPE_PROTECT,Hardscape Protection,,1,2,setup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_INSPECT,Interstage Inspection,,1,2,interstage,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_JCHANNEL_DETAIL,J-Channel Detail (QT3),,1,2,finish,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_JCHANNEL_DETAIL_COAT2,"J-Channel Detail (Coat 2, QT3)",,1,2,finish,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_LANDSCAPE_PROTECT,Landscape Protection (Extended for Chalk Runoff),,1,2,setup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_OXIDE_SCUFF,Oxide Layer Scuff (180-320 Grit Pads),,1,2,prep,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_PRESSURE_WASH,Pressure Wash with TSP/Alkaline Cleaner,,1,2,prep,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_PRIME_BRUSH,Self-Etching Primer — Brush,Brush Prime,1,2,prime,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,
TSK_ALRP_PRIME_SPRAY,Self-Etching Primer — Spray,Spray Prime,1,2,prime,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,
TSK_ALRP_PROTECT_TEARDOWN,Protection Teardown,,1,2,cleanup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_SITE_CLEANUP,Site Cleanup,,1,2,cleanup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_TOUCHUP,Interstage Touch-Up,,1,2,interstage,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ALRP_TRIM_MASK,Trim Masking,,1,2,setup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
