task_id,name,flag,activity,phases,substrates,module_count
TSK_AEST_CLEAR_BRUSH,Clear Brush,ACTIVITY_UNMATCHED,,finish,int_arch_element,1
TSK_AEST_CLEAR_SPRAY,Clear Spray,ACTIVITY_UNMATCHED,,finish,int_arch_element,1
TSK_AEST_CONDITIONER,Wood Conditioner,ACTIVITY_UNMATCHED,,prep,int_arch_element,1
TSK_AEST_EQUIP_CLEAN,Clean Equipment,ACTIVITY_UNMATCHED,,cleanup,int_arch_element,1
TSK_AEST_FILL,Fill Defects,ACTIVITY_UNMATCHED,,prep,int_arch_element,1
TSK_AEST_GRAIN_RAISE,Grain Raise,ACTIVITY_UNMATCHED,,prep,int_arch_element,1
TSK_AEST_SAND_120,Sand 120 Grit,ACTIVITY_UNMATCHED,,prep,int_arch_element,1
TSK_AEST_SAND_150,Sand 150 Grit,ACTIVITY_UNMATCHED,,prep,int_arch_element,1
TSK_AEST_SAND_CLEAR,Sand Between Clear (320-400),ACTIVITY_UNMATCHED,,finish,int_arch_element,1
TSK_AEST_SAND_CLEAR,Sand Between Clear (320-400),"PHASE_DOCTRINE_HINT(name->prep|interstage, derived->finish)",,finish,int_arch_element,1
TSK_AEST_SAND_SEALER,Sand Between Sealer (220-320),ACTIVITY_UNMATCHED,,finish,int_arch_element,1
TSK_AEST_SAND_SEALER,Sand Between Sealer (220-320),"PHASE_DOCTRINE_HINT(name->prep|interstage, derived->finish)",,finish,int_arch_element,1
TSK_AEST_SEALER_BRUSH,Sealer Brush,ACTIVITY_UNMATCHED,,finish,int_arch_element,1
TSK_AEST_SEALER_SPRAY,Sealer Spray,ACTIVITY_UNMATCHED,,finish,int_arch_element,1
TSK_AEST_STAIN_BRUSH,Stain Brush+Wipe,ACTIVITY_UNMATCHED,,apply,int_arch_element,1
TSK_AEST_STAIN_ROLL,Stain Roll+Wipe,ACTIVITY_UNMATCHED,,apply,int_arch_element,1
TSK_AEST_STAIN_SPRAY,Stain Spray+Wipe,ACTIVITY_UNMATCHED,,apply,int_arch_element,1
TSK_AEST_TACK,Tack Clean,ACTIVITY_UNMATCHED,,prep,int_arch_element,1
TSK_AEST_TOUCHUP,Touch-Up,ACTIVITY_UNMATCHED,,cleanup,int_arch_element,1
TSK_AEST_WIPE_COND,Wipe Conditioner,ACTIVITY_UNMATCHED,,prep,int_arch_element,1
TSK_ALRP_CAULK_ASSESS,Caulk Assessment + Replacement (QT3),ACTIVITY_UNMATCHED,,prep,ext_aluminum_siding,1
TSK_ALRP_CHALK_VERIFY,Chalk Verification Gate (Hand-Rub Test),ACTIVITY_UNMATCHED,,prep,ext_aluminum_siding,1
TSK_ALRP_CUSTOMER_WALKTHROUGH,Customer Walkthrough,ACTIVITY_UNMATCHED,,cleanup,ext_aluminum_siding,1
TSK_ALRP_DFT_VERIFY,Primer DFT Verification,ACTIVITY_UNMATCHED,,prime,ext_aluminum_siding,1
TSK_ALRP_DOOR_MASK,Door Masking,ACTIVITY_UNMATCHED,,setup,ext_aluminum_siding,1
TSK_ALRP_EQUIPMENT_SETUP_BRUSH,Brush Equipment Setup,ACTIVITY_UNMATCHED,,setup,ext_aluminum_siding,1
TSK_ALRP_EQUIPMENT_SETUP_SPRAY,Spray Equipment Setup,ACTIVITY_UNMATCHED,,setup,ext_aluminum_siding,1
TSK_ALRP_FINAL_TOUCHUP,Final Touch-Up,ACTIVITY_UNMATCHED,,cleanup,ext_aluminum_siding,1
TSK_ALRP_FINISH_BRUSH,Finish Coat 1 — Brush (Fallback),ACTIVITY_UNMATCHED,,finish,ext_aluminum_siding,1
TSK_ALRP_FINISH_BRUSH_COAT2,Finish Coat 2 — Brush,ACTIVITY_UNMATCHED,,finish,ext_aluminum_siding,1
TSK_ALRP_FINISH_SPRAY,Finish Coat 1 — Spray,ACTIVITY_UNMATCHED,,finish,ext_aluminum_siding,1
TSK_ALRP_FINISH_SPRAY_COAT2,Finish Coat 2 — Spray,ACTIVITY_UNMATCHED,,finish,ext_aluminum_siding,1
TSK_ALRP_FIXTURE_MASK,Fixture Masking,ACTIVITY_UNMATCHED,,setup,ext_aluminum_siding,1
TSK_ALRP_HARDSCAPE_PROTECT,Hardscape Protection,ACTIVITY_UNMATCHED,,setup,ext_aluminum_siding,1
TSK_ALRP_INSPECT,Interstage Inspection,ACTIVITY_UNMATCHED,,interstage,ext_aluminum_siding,1
TSK_ALRP_JCHANNEL_DETAIL,J-Channel Detail (QT3),ACTIVITY_UNMATCHED,,finish,ext_aluminum_siding,1
TSK_ALRP_JCHANNEL_DETAIL_COAT2,"J-Channel Detail (Coat 2, QT3)",ACTIVITY_UNMATCHED,,finish,ext_aluminum_siding,1
TSK_ALRP_LANDSCAPE_PROTECT,Landscape Protection (Extended for Chalk Runoff),ACTIVITY_UNMATCHED,,setup,ext_aluminum_siding,1
TSK_ALRP_OXIDE_SCUFF,Oxide Layer Scuff (180-320 Grit Pads),ACTIVITY_UNMATCHED,,prep,ext_aluminum_siding,1
TSK_ALRP_PRESSURE_WASH,Pressure Wash with TSP/Alkaline Cleaner,ACTIVITY_UNMATCHED,,prep,ext_aluminum_siding,1
TSK_ALRP_PROTECT_TEARDOWN,Protection Teardown,ACTIVITY_UNMATCHED,,cleanup,ext_aluminum_siding,1
TSK_ALRP_SITE_CLEANUP,Site Cleanup,ACTIVITY_UNMATCHED,,cleanup,ext_aluminum_siding,1
TSK_ALRP_TOUCHUP,Interstage Touch-Up,ACTIVITY_UNMATCHED,,interstage,ext_aluminum_siding,1
TSK_ALRP_TRIM_MASK,Trim Masking,ACTIVITY_UNMATCHED,,setup,ext_aluminum_siding,1
TSK_ALRP_WINDOW_MASK,Window Masking,ACTIVITY_UNMATCHED,,setup,ext_aluminum_siding,1
TSK_ARCH_BRUSH_BEAM,Brush Finish Beam,ACTIVITY_UNMATCHED,,finish,arch_element,1
TSK_ARCH_BRUSH_COLUMN,Brush Finish Column,ACTIVITY_UNMATCHED,,finish,arch_element,1
TSK_ARCH_BRUSH_MANTEL,Brush Finish Mantel,ACTIVITY_UNMATCHED,,finish,arch_element,1
TSK_ARCH_CAULK_BEAM,Caulk Beam Joints,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_CAULK_COLUMN,Caulk Column Joints,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_CAULK_MANTEL,Caulk Mantel Joints,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_DUST_CLEAN_BEAM,Dust Clean Beam,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_FILL_BEAM,Fill Beam Defects,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_FILL_COLUMN,Fill Column Defects,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_FILL_MANTEL,Fill Mantel Defects,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_FIXTURE_MASK,Mask Arch Element Fixtures,ACTIVITY_UNMATCHED,,setup,arch_element,1
TSK_ARCH_FLOOR_PERIM,Perimeter Floor Protection,ACTIVITY_UNMATCHED,,setup,arch_element,1
TSK_ARCH_FLOOR_WORKZONE,Workzone Floor Protection,ACTIVITY_UNMATCHED,,setup,arch_element,1
TSK_ARCH_REMOVE_FIXTURE_MASK,Remove Arch Fixture Mask,ACTIVITY_UNMATCHED,,cleanup,arch_element,1
TSK_ARCH_REMOVE_FLOOR_PERIM,Remove Perimeter Floor,ACTIVITY_UNMATCHED,,cleanup,arch_element,1
TSK_ARCH_REMOVE_FLOOR_WORKZONE,Remove Workzone Floor,ACTIVITY_UNMATCHED,,cleanup,arch_element,1
TSK_ARCH_REMOVE_WALL_MASK,Remove Arch Wall Mask,ACTIVITY_UNMATCHED,,cleanup,arch_element,1
TSK_ARCH_SAND_BEAM,Sand Beam,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_SAND_COLUMN,Sand Column,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_SAND_MANTEL,Sand Mantel,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_SEAL_MDF,Seal Beam MDF Edges,ACTIVITY_UNMATCHED,,prep,arch_element,1
TSK_ARCH_SPRAY_BEAM,Spray Finish Beam,ACTIVITY_UNMATCHED,,finish,arch_element,1
TSK_ARCH_SPRAY_COLUMN,Spray Finish Column,ACTIVITY_UNMATCHED,,finish,arch_element,1
TSK_ARCH_SPRAY_MANTEL,Spray Finish Mantel,ACTIVITY_UNMATCHED,,finish,arch_element,1
TSK_ARCH_WALL_MASK,Mask Adjacent Wall,ACTIVITY_UNMATCHED,,setup,arch_element,1
TSK_BACKROLL_DWL,Backroll Drywall (SF),ORPHAN,,,,0
TSK_BACKROLL_DWL,Backroll Drywall (SF),ACTIVITY_UNMATCHED,,,,0
TSK_BACKROLL_SPRAY_DWL,Spray (Tethered to Backroll) Drywall (SF),ORPHAN,,,,0
TSK_BACKROLL_SPRAY_DWL,Spray (Tethered to Backroll) Drywall (SF),ACTIVITY_UNMATCHED,,,,0
TSK_BALUSTER_CLEAR_BRUSH,Brush Clear baluster,ACTIVITY_UNMATCHED,,apply,baluster,1
TSK_BALUSTER_CLEAR_WIPE,Wipe Clear baluster,ACTIVITY_UNMATCHED,,apply,baluster,1
TSK_BALUSTER_FINISH_BRUSH,Brush Finish baluster,ACTIVITY_UNMATCHED,,apply,baluster,1
TSK_BALUSTER_FINISH_SPRAY,Spray Finish baluster,ACTIVITY_UNMATCHED,,apply,baluster,1
TSK_BALUSTER_INTERSTAGE,Interstage baluster,ACTIVITY_UNMATCHED,,interstage,baluster,1
TSK_BALUSTER_INTERSTAGE_STAIN,Interstage Stain baluster,ACTIVITY_UNMATCHED,,interstage,baluster,1
TSK_BALUSTER_STAIN_BRUSH,Brush Stain baluster,ACTIVITY_UNMATCHED,,prime,baluster,1
TSK_BALUSTER_STAIN_WIPE,Wipe Stain baluster,ACTIVITY_UNMATCHED,,prime,baluster,1
TSK_BETWEEN_COAT_SAND_LF,Between Coat Sand (LF),ACTIVITY_UNMATCHED,,apply;interstage;prep,baseboard;chair_rail;crown;door_casing;door_frame;int_baseboard;int_chair_rail;int_crown;int_door_casing;int_door_frame;int_panel_mold;int_picture_rail;int_shadow_box;int_shoe_mold;int_window_apron;int_window_casing;int_window_jamb;int_window_stool;panel_mold;picture_rail;shadow_box;shoe_mold;window_apron;window_casing;window_jamb;window_stool,39
TSK_BETWEEN_COAT_SAND_LF,Between Coat Sand (LF),MULTI_PHASE,,apply;interstage;prep,baseboard;chair_rail;crown;door_casing;door_frame;int_baseboard;int_chair_rail;int_crown;int_door_casing;int_door_frame;int_panel_mold;int_picture_rail;int_shadow_box;int_shoe_mold;int_window_apron;int_window_casing;int_window_jamb;int_window_stool;panel_mold;picture_rail;shadow_box;shoe_mold;window_apron;window_casing;window_jamb;window_stool,39
TSK_BETWEEN_COAT_SAND_LF,Between Coat Sand (LF),MULTI_SUBSTRATE,,apply;interstage;prep,baseboard;chair_rail;crown;door_casing;door_frame;int_baseboard;int_chair_rail;int_crown;int_door_casing;int_door_frame;int_panel_mold;int_picture_rail;int_shadow_box;int_shoe_mold;int_window_apron;int_window_casing;int_window_jamb;int_window_stool;panel_mold;picture_rail;shadow_box;shoe_mold;window_apron;window_casing;window_jamb;window_stool,39
TSK_BETWEEN_COAT_SAND_LF,Between Coat Sand (LF),PI_INT_PREFIX_DUPE,,apply;interstage;prep,baseboard;chair_rail;crown;door_casing;door_frame;int_baseboard;int_chair_rail;int_crown;int_door_casing;int_door_frame;int_panel_mold;int_picture_rail;int_shadow_box;int_shoe_mold;int_window_apron;int_window_casing;int_window_jamb;int_window_stool;panel_mold;picture_rail;shadow_box;shoe_mold;window_apron;window_casing;window_jamb;window_stool,39
TSK_BETWEEN_COAT_SAND_SF,Between Coat Sand (SF),ACTIVITY_UNMATCHED,,interstage,wainscot,1
TSK_BLT_FILL,Fill Builtin Defects,ACTIVITY_UNMATCHED,,prep,builtin,1
TSK_BLT_FIXTURE_MASK,Mask Builtin Fixtures,ACTIVITY_UNMATCHED,,setup,builtin,1
TSK_BLT_PRIME,Prime Builtin,ACTIVITY_UNMATCHED,,prime,builtin,1
TSK_BLT_REMOVE_FIXTURE_MASK,Remove Builtin Fixture Mask,ACTIVITY_UNMATCHED,,cleanup,builtin,1
TSK_BLT_REMOVE_WALL_MASK,Remove Builtin Wall Mask,ACTIVITY_UNMATCHED,,cleanup,builtin,1
TSK_BLT_SAND_FILL,Sand Builtin Fill,ACTIVITY_UNMATCHED,,prep,builtin,1
TSK_BLT_SAND_PRIMER,Sand Cured Builtin Primer,ACTIVITY_UNMATCHED,,prime,builtin,1
TSK_BLT_SAND_PRIMER,Sand Cured Builtin Primer,"PHASE_DOCTRINE_HINT(name->prep|interstage, derived->prime)",,prime,builtin,1
TSK_BLT_SEAL_MDF,Seal Builtin MDF,ACTIVITY_UNMATCHED,,prep,builtin,1
TSK_BLT_TACK_CLEAN,Tack Clean Builtin,ACTIVITY_UNMATCHED,,interstage,builtin,1
TSK_BLT_WALL_MASK,Mask Wall Adjacent Builtin,ACTIVITY_UNMATCHED,,setup,builtin,1
TSK_BRUSH_COAT_LF,Brush Coat (LF),ACTIVITY_UNMATCHED,,apply,baseboard;chair_rail;crown;door_casing;door_frame;panel_mold;picture_rail;shadow_box;shoe_mold;window_apron;window_casing;window_jamb;window_stool,26
TSK_BRUSH_COAT_LF,Brush Coat (LF),MULTI_SUBSTRATE,,apply,baseboard;chair_rail;crown;door_casing;door_frame;panel_mold;picture_rail;shadow_box;shoe_mold;window_apron;window_casing;window_jamb;window_stool,26
TSK_BRUSH_COAT_SF,Brush Coat (SF),ACTIVITY_UNMATCHED,,finish;prime,wainscot;wood_ceiling;wood_wall,6
TSK_BRUSH_COAT_SF,Brush Coat (SF),MULTI_PHASE,,finish;prime,wainscot;wood_ceiling;wood_wall,6
TSK_CABT_BACKSPLASH_MASK,Mask Backsplash,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_CAULK_FRAME,Caulk Cabinet Frame,ACTIVITY_UNMATCHED,,prep,cabinet,1
TSK_CABT_COUNTERTOP_COVER,Countertop Cover,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_DEGREASE_DOORS,Degrease Cabinet Doors,ACTIVITY_UNMATCHED,,prep,cabinet,1
TSK_CABT_DEGREASE_FRAME,Degrease Cabinet Frame,ACTIVITY_UNMATCHED,,prep,cabinet,1
TSK_CABT_DOOR_REINSTALL,Reinstall Cabinet Doors,ACTIVITY_UNMATCHED,,cleanup,cabinet,1
TSK_CABT_DOOR_REMOVE,Remove Cabinet Doors,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_DRAWER_REINSTALL,Reinstall Cabinet Drawers,ACTIVITY_UNMATCHED,,cleanup,cabinet,1
TSK_CABT_DRAWER_REMOVE,Remove Cabinet Drawers,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_FILL_DOORS,Fill Cabinet Door Defects,ACTIVITY_UNMATCHED,,prep,cabinet,1
TSK_CABT_FLOOR_FULL,Full Kitchen Floor Cover,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_HARDWARE_REINSTALL,Reinstall Cabinet Hardware,ACTIVITY_UNMATCHED,,cleanup,cabinet,1
TSK_CABT_HARDWARE_REMOVE,Remove Cabinet Hardware,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PRIME_BONDING_BRUSH_DOOR,Brush Bonding Primer on Cabinet Doors,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_BONDING_BRUSH_DRAWER,Brush Bonding Primer on Cabinet Drawers,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_BONDING_BRUSH_FRAME,Brush Bonding Primer on Cabinet Frame,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_BONDING_BRUSH_INTERIOR,Brush Bonding Primer on Cabinet Interior,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_BONDING_SPRAY_DOOR,Spray Bonding Primer on Cabinet Doors,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_BONDING_SPRAY_DRAWER,Spray Bonding Primer on Cabinet Drawers,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_BONDING_SPRAY_FRAME,Spray Bonding Primer on Cabinet Frame,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_BONDING_SPRAY_INTERIOR,Spray Bonding Primer on Cabinet Interior,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_STBLOCK_BRUSH_DOOR,Brush Stain-Blocking Primer on Cabinet Doors,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_STBLOCK_BRUSH_DRAWER,Brush Stain-Blocking Primer on Cabinet Drawers,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_STBLOCK_BRUSH_FRAME,Brush Stain-Blocking Primer on Cabinet Frame,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_STBLOCK_BRUSH_INTERIOR,Brush Stain-Blocking Primer on Cabinet Interior,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_STBLOCK_SPRAY_DOOR,Spray Stain-Blocking Primer on Cabinet Doors,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_STBLOCK_SPRAY_DRAWER,Spray Stain-Blocking Primer on Cabinet Drawers,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_STBLOCK_SPRAY_FRAME,Spray Stain-Blocking Primer on Cabinet Frame,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PRIME_STBLOCK_SPRAY_INTERIOR,Spray Stain-Blocking Primer on Cabinet Interior,ACTIVITY_UNMATCHED,,prime,cabinet,1
TSK_CABT_PROT_EDGE_SETUP,Mask Cabinets — Edge tape only (setup),NO_QT,,setup,cabinet,4
TSK_CABT_PROT_EDGE_SETUP,Mask Cabinets — Edge tape only (setup),ACTIVITY_UNMATCHED,,setup,cabinet,4
TSK_CABT_PROT_EDGE_TEARDOWN,Remove Cabinet Edge Mask,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_EDGE_TEARDOWN,Remove Cabinet Edge Mask,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_ENCAP_SETUP,Mask Cabinets — Encapsulate (setup),NO_QT,,setup,cabinet,2
TSK_CABT_PROT_ENCAP_SETUP,Mask Cabinets — Encapsulate (setup),ACTIVITY_UNMATCHED,,setup,cabinet,2
TSK_CABT_PROT_ENCAP_TEARDOWN,Remove Cabinet Encapsulate Mask,NO_QT,,setup,cabinet,2
TSK_CABT_PROT_ENCAP_TEARDOWN,Remove Cabinet Encapsulate Mask,ACTIVITY_UNMATCHED,,setup,cabinet,2
TSK_CABT_PROT_FACE_COVER,Cover Cabinet Faces (Light),NO_QT,,setup,cabinet,1
TSK_CABT_PROT_FACE_COVER,Cover Cabinet Faces (Light),ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_FULL_SETUP,Mask Cabinets — Full drape (setup),NO_QT,,setup,cabinet,2
TSK_CABT_PROT_FULL_SETUP,Mask Cabinets — Full drape (setup),ACTIVITY_UNMATCHED,,setup,cabinet,2
TSK_CABT_PROT_FULL_TEARDOWN,Remove Cabinet Full Drape,NO_QT,,setup,cabinet,2
TSK_CABT_PROT_FULL_TEARDOWN,Remove Cabinet Full Drape,ACTIVITY_UNMATCHED,,setup,cabinet,2
TSK_CABT_PROT_HVY_APPLIANCES,Cover Kitchen Appliances,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_HVY_APPLIANCES,Cover Kitchen Appliances,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_HVY_BACKSPLASH,Mask Backsplash,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_HVY_BACKSPLASH,Mask Backsplash,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_HVY_COUNTERTOP,Mask Countertop Edges,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_HVY_COUNTERTOP,Mask Countertop Edges,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_HVY_FACE_COVER,Cover Cabinet Faces (Heavy),NO_QT,,setup,cabinet,1
TSK_CABT_PROT_HVY_FACE_COVER,Cover Cabinet Faces (Heavy),ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_HVY_FLOOR,Lay Kitchen Floor Protection,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_HVY_FLOOR,Lay Kitchen Floor Protection,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_HVY_HARDWARE,Cover Cabinet Hardware,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_HVY_HARDWARE,Cover Cabinet Hardware,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_HVY_TEARDOWN,Remove Heavy Cabinet Protection,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_HVY_TEARDOWN,Remove Heavy Cabinet Protection,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_LIGHT_TEARDOWN,Remove Cabinet Face Covers,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_LIGHT_TEARDOWN,Remove Cabinet Face Covers,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_PARTIAL_SETUP,Mask Cabinets — Partial perimeter (setup),NO_QT,,setup,cabinet,2
TSK_CABT_PROT_PARTIAL_SETUP,Mask Cabinets — Partial perimeter (setup),ACTIVITY_UNMATCHED,,setup,cabinet,2
TSK_CABT_PROT_PARTIAL_TEARDOWN,Remove Cabinet Partial Mask,NO_QT,,setup,cabinet,2
TSK_CABT_PROT_PARTIAL_TEARDOWN,Remove Cabinet Partial Mask,ACTIVITY_UNMATCHED,,setup,cabinet,2
TSK_CABT_PROT_STD_COUNTERTOP,Mask Countertop Edges,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_STD_COUNTERTOP,Mask Countertop Edges,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_STD_FACE_COVER,Cover Cabinet Faces (Standard),NO_QT,,setup,cabinet,1
TSK_CABT_PROT_STD_FACE_COVER,Cover Cabinet Faces (Standard),ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_STD_HARDWARE,Cover Cabinet Hardware,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_STD_HARDWARE,Cover Cabinet Hardware,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_PROT_STD_TEARDOWN,Remove Standard Cabinet Protection,NO_QT,,setup,cabinet,1
TSK_CABT_PROT_STD_TEARDOWN,Remove Standard Cabinet Protection,ACTIVITY_UNMATCHED,,setup,cabinet,1
TSK_CABT_REMOVE_BACKSPLASH_MASK,Remove Backsplash Mask,ACTIVITY_UNMATCHED,,cleanup,cabinet,1
TSK_CABT_REMOVE_COUNTERTOP_COVER,Remove Countertop Cover,ACTIVITY_UNMATCHED,,cleanup,cabinet,1
TSK_CABT_REMOVE_FLOOR_FULL,Remove Full Kitchen Floor Cover,ACTIVITY_UNMATCHED,,cleanup,cabinet,1
TSK_CABT_SAND_DOORS,Sand Cabinet Doors,ACTIVITY_UNMATCHED,,prep,cabinet,1
TSK_CABT_SAND_DRAWERS,Sand Cabinet Drawers,ACTIVITY_UNMATCHED,,prep,cabinet,1
TSK_CABT_SAND_FRAME,Sand Cabinet Frame,ACTIVITY_UNMATCHED,,prep,cabinet,1
TSK_CABT_SPRAY_DOORS,Spray Cabinet Doors,ACTIVITY_UNMATCHED,,finish,cabinet,1
TSK_CABT_SPRAY_DRAWERS,Spray Cabinet Drawers,ACTIVITY_UNMATCHED,,finish,cabinet,1
TSK_CABT_SPRAY_FRAME,Spray Cabinet Frame,ACTIVITY_UNMATCHED,,finish,cabinet,1
TSK_CABT_TACK_CLEAN,Tack Clean Cabinet,ACTIVITY_UNMATCHED,,interstage,cabinet,1
TSK_CAULK_ADHESION_CHECK,Spot Adhesion Verification,NO_QT,,apply,ext_caulk_joint,1
TSK_CAULK_ADHESION_CHECK,Spot Adhesion Verification,ACTIVITY_UNMATCHED,,apply,ext_caulk_joint,1
TSK_CAULK_ADHESION_CHECK,Spot Adhesion Verification,"PHASE_DOCTRINE_HINT(name->prep, derived->apply)",,apply,ext_caulk_joint,1
TSK_CAULK_APPLY_BACKER,Sealant Application — Over Backer Rod,NO_QT,,apply,ext_caulk_joint,1
TSK_CAULK_APPLY_BACKER,Sealant Application — Over Backer Rod,ACTIVITY_UNMATCHED,,apply,ext_caulk_joint,1
TSK_CAULK_APPLY_BACKER,Sealant Application — Over Backer Rod,"PHASE_DOCTRINE_HINT(name->prep, derived->apply)",,apply,ext_caulk_joint,1
TSK_CAULK_APPLY_SIMPLE,Sealant Application — Simple Bead,NO_QT,,apply,ext_caulk_joint,1
TSK_CAULK_APPLY_SIMPLE,Sealant Application — Simple Bead,ACTIVITY_UNMATCHED,,apply,ext_caulk_joint,1
TSK_CAULK_APPLY_SIMPLE,Sealant Application — Simple Bead,"PHASE_DOCTRINE_HINT(name->prep, derived->apply)",,apply,ext_caulk_joint,1
